epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.275,0.70278,3.16603,0.99123,0.00635,1,0.33964,0.29534,0.50488,3.4654,0.79907,0.00031108,0.00031108,0.00031108
2,137.63,0.68821,2.12643,0.98455,1,0.13392,0.60363,0.51689,0.48969,3.23223,0.82091,0.000601923,0.000601923,0.000601923
3,196.634,0.75418,1.93026,1.0167,0.86978,0.1034,0.46043,0.38828,0.48801,3.51506,0.85504,0.000860869,0.000860869,0.000860869
4,254.83,0.72827,1.76998,0.99495,0.5473,0.58687,0.57894,0.50286,0.53926,2.65389,0.87562,0.000946016,0.000946016,0.000946016
5,318.927,0.7072,1.7086,1.00064,0.59784,0.72591,0.70526,0.64385,0.45431,2.02203,0.84762,0.000891022,0.000891022,0.000891022
6,380.985,0.69112,1.60967,0.97348,0.63767,0.72722,0.78851,0.70185,0.51315,1.87522,0.85963,0.000836027,0.000836027,0.000836027
7,439.982,0.70242,1.43588,1.01563,0.68241,0.84835,0.85627,0.77136,0.45018,1.50773,0.84833,0.000781033,0.000781033,0.000781033
8,498.358,0.67079,1.35044,1.01596,0.82176,0.90893,0.93777,0.88957,0.38794,1.26725,0.83512,0.000726038,0.000726038,0.000726038
9,555.374,0.66353,1.32471,0.98824,0.86863,0.92261,0.964,0.9089,0.37353,1.06619,0.83645,0.000671044,0.000671044,0.000671044
10,614.184,0.59285,1.10618,0.96019,0.76599,0.82727,0.87527,0.83824,0.36467,1.40172,0.82761,0.000616049,0.000616049,0.000616049
11,670.826,0.39067,1.06446,0.83479,0.85468,0.94214,0.94259,0.91412,0.32614,1.18528,0.82098,0.000561055,0.000561055,0.000561055
12,726.411,0.37696,1.01824,0.82097,0.90765,0.92918,0.96515,0.91929,0.32546,1.00061,0.81321,0.00050606,0.00050606,0.00050606
13,781.982,0.3709,0.93178,0.82615,0.93538,0.93787,0.98717,0.95475,0.3015,0.80822,0.81427,0.000451066,0.000451066,0.000451066
14,838.404,0.35039,0.8806,0.81517,0.95718,0.97536,0.991,0.96012,0.26864,0.73204,0.81276,0.000396071,0.000396071,0.000396071
15,894.013,0.32019,0.8009,0.80974,0.94528,0.94761,0.995,0.97199,0.27647,0.71779,0.81234,0.000341077,0.000341077,0.000341077
16,950.196,0.31943,0.81052,0.80959,0.97256,0.94822,0.96532,0.93821,0.26005,0.68912,0.80442,0.000286083,0.000286083,0.000286083
17,1005.48,0.30733,0.73104,0.79862,0.95017,0.91993,0.9653,0.94822,0.22968,0.69023,0.79732,0.000231088,0.000231088,0.000231088
18,1062.21,0.29876,0.71394,0.80086,0.95301,0.96586,0.9737,0.96286,0.22554,0.67393,0.79889,0.000176094,0.000176094,0.000176094
19,1118.09,0.27187,0.65683,0.79901,0.95462,0.95402,0.97574,0.96899,0.20758,0.6365,0.79643,0.000121099,0.000121099,0.000121099
20,1174.32,0.25542,0.64089,0.80008,0.96886,0.9815,0.9928,0.98259,0.21446,0.57738,0.79679,6.61045e-05,6.61045e-05,6.61045e-05
